death to spies: moment of truth	The Most Mysterious Secret Service Agency of WWII This is a third-person stealth-action game describing the activities of the SMERSH, the most mysterious secret service agency of World War II. Moment of Truth is a sequel to the popular stealth action title Death to Spies.	['Action', 'Stealth', 'World War II', 'Third Person', 'Shooter', 'Singleplayer', 'Atmospheric']	['Single-player', 'Steam Cloud']
rise of the ancients	It's a hardcore classic Tower Defence. Even tutorial in this game is hard to beat. Only few can complete this game.	['Indie', 'Strategy', 'Tower Defense']	['Single-player', 'Steam Trading Cards']
bullet soul infinite burst	Bullet Soul Infinite Burst is a vertically scrolling shooting game crossing old-school gameplay with a bullet hell twist. It adds numerous gameplay enhancements over its predecessor, Bullet Soul, not least of which is Burst Mode. The same aggressive, bullet-cancelling gameplay, now with more destruction, more coins and more tunes.	['Action', "Shoot 'Em Up", 'Anime', 'Bullet Hell', 'Sci-fi', 'Great Soundtrack', 'Casual', 'Cute']	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']
avalon	Faery: Legends of Avalon is a big role playing game packed with a very distinctive ambience and graphic style. Create your character, embark in a great adventure and discover the fantastic world of Avalon!	['RPG', 'Fantasy', 'Turn-Based', 'Adventure', 'Singleplayer', 'Character Customization', 'Female Protagonist', 'Story Rich', 'Action']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']
total extreme wrestling 2010	Step into the world of wrestling in World Total Extreme Wrestling 2010. In this simulation title, you play the role of a wrestling promoter, and it is up to you to steer your company to the top of the industry!	['Sports', 'Simulation', 'Wrestling', 'Management']	['Single-player']
on a roll 3d	On A Roll 3D is a fast, colourful 3D platform game. Roll your way through 24 huge levels across six different themes and be prepared to take on spikes, mines, dynamite, conveyor belts, springs, switches, doors, bumpers, lasers, saws, fire, ice, water, electricity, trapdoors and much much more.	['Adventure', 'Action', 'Indie', 'Casual', 'Platformer', 'Arcade', 'Retro', 'Colorful', 'Family Friendly', 'Funny', 'Classic', 'Fantasy', 'Puzzle Platformer', 'Pinball', 'Singleplayer', 'Puzzle', 'Stylized', 'Atmospheric', 'Action-Adventure', 'Great Soundtrack']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']
space adventure	Help the cats find alien friends! By exploring space using "Catellite-609" cats will be able to: build rooms, upgrade "Catellite-609" facilities, and develop a cat crew. Enjoy a unique space adventure!	['Adventure', 'Arcade', 'Idler', 'Exploration', 'Clicker', 'Time Management', '2D', 'Isometric', 'Cute', 'Hand-drawn', 'Colorful', 'Atmospheric', 'Space', 'Cats', 'Management', 'Relaxing', 'Robots', 'Building', 'Crafting', 'Economy']	['Single-player', 'Steam Achievements']
my vet practice	Do you sometimes dream of being a vet doctor? Now you can make that dream come true – start your own vet practice!	['Casual', 'Simulation']	['Single-player']
cladun returns: this is sengoku!	In the land of Arcanus Cella, the souls of the dead gather as they await reincarnation. However, some souls have unfinished business to resolve. Grant peace to these souls by traveling across feudal Japan and fighting your way through dungeons filled with monsters and traps!	['Action', 'RPG', 'Dungeon Crawler', 'Hack and Slash', 'Pixel Graphics', 'Character Customization', 'JRPG']	['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']
copoka	Copoka is an open-world exploratory indie game where you play as a bird flying around a city looking for twigs to build your nest.	['Casual', 'Indie', 'Exploration', 'Flight', 'Atmospheric', 'Open World', 'Simulation', 'Experimental']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']
behold the kickmen	BEHOLD THE KICKMEN is a football game made by someone who has no understanding of, or interest in, what is affectionately known as "The Wonderful Game". Start at the bottom of the Big Boring Football Spreadsheet and grind your way up to become the best at the football anyone's ever seen.	['Action', 'Sports', 'Indie', 'Casual', 'Football (Soccer)']	['Single-player', 'Steam Achievements', 'Partial Controller Support']
squids odyssey	Build your team of Squid heroes for epic turn-based battles against corrupted crabs and shrimps! Steev and the rest of the Squids are in danger! An infectious ooze is corrupting their world, and this band of unlikely heroes needs to fight back to save their kingdom.	['Adventure', 'RPG', 'Indie', 'Turn-Based', 'Replay Value', 'Nature', 'Turn-Based Strategy', 'Family Friendly', 'Story Rich', 'Singleplayer', 'Funny', 'Character Customization', 'Comedy', 'Casual', 'Strategy', 'Action-Adventure', 'Tactical RPG', '2D', 'Retro', 'Cartoon']	['Single-player', 'Steam Achievements', 'Full controller support']
dead bits	Quilly was abducted by aliens, now, he has to fight for his freedom! Destroy cube aliens with guns, bats and inteligence... avoid traps and more. Dead Bits is a first-person shooter with original dubstep soundtrack for Windows and Mac.	['Indie', 'Action', 'Casual', 'FPS', 'Shooter', 'First-Person', 'Great Soundtrack', 'Zombies', 'Singleplayer', 'Voxel', 'Multiplayer', 'Horror', 'Pixel Graphics', 'Difficult', 'Funny']	['Single-player', 'Steam Trading Cards']
battle royal	This is the most recent installment of the ‘Kunio-Kun’ franchise recreated as a fun and easy fighting game with the fighting aspects taken and upgraded from River City Super Sports Challenge ~All Star Special~.	['Action', 'Sports', 'Adventure', 'Retro', 'Anime', 'Action-Adventure', 'Battle Royale', 'Pixel Graphics', 'Fighting']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together']
arma: combat operations	Sequel to the highly successful Operation Flashpoint, ARMA: Combat Operations is a first person tactical military shooter on the PC with large elements of realism and simulation. This game features a blend of large-scale military conflict spread across large areas alongside the more close quartered battles.	['Action', 'Simulation', 'FPS', 'Military', 'Tactical', 'Shooter', 'Realistic', 'Open World']	['Single-player', 'Includes level editor']
spare parts	Unit 03 is a sheltered, but bubbly, robot girl with a penchant for breaking the rules. After getting a tiny taste of the outside, she's become all the more desperate to break free of the cage she was born in. But so long as her body continues to malfunction, will that ever be more than a fantasy?	['Casual', 'Visual Novel', '2D', 'Cute', 'Drama', 'LGBTQ+', 'Robots', 'Female Protagonist', 'Linear', 'Story Rich', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']
message quest	Message Quest is a tiny stained-glass point-n-click adventure about laziness and her herald. Imagine yourself as the main hero’s conscience, the one that must make him work when all he wants to do is sleep.	['Adventure', 'Point & Click', 'Casual', 'Puzzle', 'Indie', '2D', 'Cute', 'Great Soundtrack', 'Fantasy', 'Comedy', 'Short', 'Atmospheric', 'Story Rich', 'Family Friendly', 'Hand-drawn', 'Singleplayer', 'Funny', 'Side Scroller', 'Cartoony', 'Cartoon']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
world war i	World War I is a real-time strategy based on the modified version of the well-known Blitzkrieg engine.	['Strategy', 'World War I', 'RTS', 'Historical', 'Isometric']	['Single-player', 'Steam Cloud']
freedom fall	Freedom Fall is a diabolical down-scrolling platformer set in a prison tower so tall it touches the clouds. Presented with hand painted art, its old school vibe mixes with fast-paced free falling action and a story with both dark wit and heart.	['Indie', 'Action', 'Adventure', 'Platformer', '2D', 'Short', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
6-in-1	Play six incredible hidden-object games full of mystery and unpredictable twists!	['Casual', 'Hidden Object', 'Adventure', 'Indie', 'Point & Click', 'Singleplayer', 'Addictive']	['Single-player', 'Steam Trading Cards']
unforgiving trials: the space crusade	The world is dying. Many years after the banishment of the evil that plagued the land, the world was hit by waves of unbearable heat. Now in order to save the world the band of young adventurers have set upon a quest to vanquish the Sun.	['Indie', 'RPG', 'Adventure', 'RPGMaker']	['Single-player', 'Steam Trading Cards']
heroine's quest: the herald of ragnarok	A retro styled adventure/RPG hybrid with atmosphere like the classics. Play as warrior, sorceress, or rogue as you travel through the rich world of Norse mythology to keep it from eternal winter. Each class has different puzzle solutions, making for good replay value. Fully free, no hidden costs.	['Adventure', 'RPG', 'Free to Play', 'Point & Click', 'Female Protagonist', 'Indie', 'Retro', 'Singleplayer', 'Fantasy', 'Pixel Graphics', 'Mythology', 'Magic', 'Story Rich', 'Exploration', 'Hand-drawn', 'Lore-Rich', 'Character Customization', 'Replay Value', 'Nonlinear', 'Family Friendly']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Commentary available']
jigsaw puzzle	If you like to make puzzles, Super Jigsaw Puzzle: Cities is your game. Travel the world enjoying its comfortable and intuitive interface and its relaxing music that will allow you to concentrate on the difficult task of solving these beautiful photos that pose a real challenge for lovers of puzzles.	['Casual', 'Indie', 'Simulation', 'Strategy', 'Puzzle', 'Relaxing', '2D', 'Singleplayer', 'Family Friendly', 'Replay Value', 'Difficult', 'GameMaker', 'Atmospheric']	['Single-player', 'Steam Achievements', 'Steam Cloud']
kult: heretic kingdoms	Kult is prequel to Shadows: Heretic Kingdoms originally released in 2005. It is isometric RPG with action combat, engaging storyline and unique RPG system. Kult has been very positively acclaimed by players and called as a sleeper hit by many...	['RPG', 'Action', 'Adventure', 'Indie', 'Isometric', 'Female Protagonist', 'Classic', 'Action RPG']	['Single-player']
drifting lands	Drifting Lands is an hybrid of classical horizontal shoot'em'up with a lot of strong gameplay elements coming straight from the action-RPG genre. If you want an original diablo-like game or you want a different kind of shoot'em'up, you're in the right place!	['Indie', 'Action', 'RPG', "Shoot 'Em Up", 'Bullet Hell', 'Sci-fi', 'Singleplayer', 'Shooter', 'Side Scroller']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
diehard dungeon	Combining its own unique take on the real-time roguelike genre, with a nostalgic 16-bit look and feel, Diehard Dungeon is a game that feels both familiar and quite different at the same time. Followed by a trusty, treasure collecting companion chest, you must make your way through the dungeons many randomly-generated rooms and levels.	['Action Roguelike', 'Indie', 'Action', 'Roguelike', 'RPG', 'Adventure', 'Roguelite', 'Retro', 'Pixel Graphics', 'Dungeon Crawler', 'Difficult', 'Singleplayer', 'Top-Down', 'Procedural Generation', '2D']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards']
prehistorik	Eat and beat your way through 150 scenes of awesome nourishing fun and relive the "Prehistorik" epic in this incredible platform game. Armed with your Diner Club Anticus, an ancestor of the baseball bat, you start in pursuit of the hilarious Maxidocus and take on armies of hairy spiders...	['Adventure', 'Action', 'Classic', 'Side Scroller', '2D', 'RPG', 'Platformer', '2D Platformer']	['Single-player']
highrise heroes: word challenge	A towering word-game and mystery-story mash-up!	['Indie', 'Strategy', 'Adventure', 'Word Game', 'Story Rich', 'Logic', 'Puzzle']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
rhem	In this third installment of the popular RHEM series of intricate pure-puzzle first-person adventure games, the adventures of brothers Kales and Zetais continue in the mysterious land of RHEM.	['Adventure', 'Puzzle', 'Exploration', 'Mystery', 'Interactive Fiction', 'Investigation', 'Choices Matter', 'First-Person', '2D', 'Singleplayer']	['Single-player', 'Steam Cloud']
garden rescue	Help the plants to defend the garden from being invaded by sneaky beetles.	['Strategy', 'Casual', 'Tower Defense']	['Single-player', 'Steam Trading Cards']
nightcry	NightCry is set on a cruise ship, and you have been invited along for the cruise of a (possibly short) lifetime. While your surroundings are luxurious and the guests are friendly, not everything is as it should be. The guests and the crew start to turn up dead, the victims of some foul murderer.	['Exploration', 'Puzzle', 'Point & Click', 'Female Protagonist', 'Third Person', 'Horror', '3D', 'Stealth', 'Psychological Horror', 'Dark Fantasy', 'Multiple Endings', 'Story Rich', 'Casual', 'Demons', 'Survival', 'Cinematic', 'Mystery', 'Atmospheric', 'Dark', 'Adventure']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
shoot the zombirds	Shoot The Zombirds VR is a gallery shooter starring undead birds, pumpkins and a crossbow. Excellent shooting fun for all skill levels.	['Casual', 'Action', 'Sports', 'VR', 'Indie', 'Arcade', 'Comedy', 'Funny', 'Hunting', 'Sniper', 'Zombies', 'Singleplayer', 'FPS', 'Cartoon', 'Archery', 'Horror', 'PvE', 'Score Attack', 'Shooter', 'Colorful']	['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Only', 'Steam Leaderboards']
